No,Yhtiö,geometry
212,Leppäkosken Sähkö Oy,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>23.086652,61.711188 23.126876,61.723093 23.146122,61.728802 23.161338,61.723203 23.219237,61.709749 23.305626,61.722868 23.30617,61.725895 23.317773,61.727499 23.320042,61.723686 23.328181,61.723905 23.322461,61.749037 23.319331,61.843534 23.325495,61.883296 23.378199,61.938815 23.388913,61.979552 23.35299,61.981618 23.351257,61.988458 23.335235,61.992337 23.357569,62.00455 23.347349,62.021064 23.369804,62.040163 23.366938,62.071828 23.361273,62.072869 23.18096,62.105978 23.186987,62.131109 23.28466,62.151845 23.313424,62.142285 23.330128,62.163818 23.314509,62.17115 23.288795,62.215654 23.318679,62.227642 23.361385,62.232966 23.309328,62.269347 23.283662,62.287285 23.302898,62.303723 23.300101,62.326459 23.293254,62.332006 23.272325,62.348958 23.220479,62.348849 23.198696,62.330715 22.896779,62.270893 22.801507,62.272496 22.77731,62.272903 22.832392,62.182006 22.817391,62.12397 22.771139,62.106201 22.77359,62.088623 22.65047,62.069728 22.600225,62.036378 22.563694,62.010231 22.576331,61.94217 22.541627,61.929422 22.549001,61.885091 22.577198,61.854136 22.56018,61.839484 22.551376,61.818529 22.512855,61.801771 22.542328,61.786799 22.66969,61.767199 22.678428,61.724416 22.836933,61.693163 22.890444,61.686171 22.945057,61.663692 22.993843,61.671588 23.037854,61.660386 23.037253,61.664349 23.031939,61.699389</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>23.291474,61.531166 23.281101,61.557569 23.300991,61.557249 23.307714,61.546241 23.335575,61.554739 23.353733,61.584493 23.401453,61.593506 23.399559,61.609811 23.251499,61.60841 23.231734,61.637136 23.199381,61.635379 23.171166,61.644061 23.07645,61.644771 23.075149,61.644781 23.081429,61.638074 23.055369,61.629575 23.073442,61.61546 23.054935,61.604595 23.047188,61.598811 23.028539,61.584888 23.04131,61.569762 23.084962,61.552941 23.089855,61.54275 23.111641,61.541651 23.112365,61.550281 23.143025,61.548241 23.221512,61.543019 23.272837,61.521188</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>23.74116,61.626993 23.734694,61.627742 23.655093,61.636962 23.544781,61.620447 23.520861,61.624144 23.497504,61.59084 23.527861,61.577844 23.559699,61.583814 23.557181,61.528366 23.557078,61.526081 23.588578,61.518266 23.614882,61.524946 23.653783,61.531931 23.665541,61.539965 23.682369,61.534351 23.70017,61.536504 23.705292,61.53921 23.719862,61.53784 23.76114,61.539687</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>"
229,Lammaisten Energia Oy,"<Polygon><outerBoundaryIs><LinearRing><coordinates>21.780271,61.35558 21.777236,61.336578 21.781346,61.338385 21.881199,61.298244 21.890346,61.308068 21.895829,61.307413 21.936677,61.298606 21.967914,61.293738 21.975449,61.291433 22.058169,61.289306 22.060219,61.287658 22.071171,61.286334 22.081854,61.286722 22.083366,61.2885 22.151606,61.279945 22.152491,61.281515 22.177021,61.284975 22.217765,61.276082 22.224103,61.281474 22.236313,61.318948 22.245669,61.339952 22.237406,61.370676 22.156189,61.385032 22.163243,61.404643 22.163722,61.405977 22.087746,61.420482 22.02847,61.420049 21.998077,61.418933 21.966875,61.400547 21.923605,61.390319 21.876893,61.390287 21.857766,61.39732 21.803847,61.384179 21.799633,61.383152</coordinates></LinearRing></outerBoundaryIs></Polygon>"
231,Paneliankosken Voima Oy,"<Polygon><outerBoundaryIs><LinearRing><coordinates>21.312108,61.28415 21.40627,61.248418 21.423066,61.234456 21.495624,61.218465 21.504669,61.207627 21.552882,61.197511 21.578453,61.183886 21.597077,61.189804 21.619352,61.163973 21.639718,61.154867 21.724346,61.175065 21.83158,61.162288 21.89946,61.166341 22.052905,61.13968 21.988303,61.086536 22.010602,61.080006 22.143452,61.082656 22.146038,61.114144 22.129294,61.114276 22.134103,61.122541 22.214377,61.124676 22.229136,61.137702 22.221456,61.168323 22.178717,61.188871 22.148518,61.187055 22.124811,61.202385 22.144457,61.21339 22.165461,61.255334 22.167909,61.254021 22.164826,61.259556 22.146241,61.26406 22.152756,61.279801 22.151606,61.279945 22.083366,61.2885 22.081854,61.286722 22.071171,61.286334 22.060219,61.287658 22.058169,61.289306 21.975449,61.291433 21.967914,61.293738 21.936677,61.298606 21.895829,61.307413 21.890346,61.308068 21.881199,61.298244 21.781346,61.338385 21.777236,61.336578 21.766306,61.331773 21.746245,61.301694 21.75124,61.293269 21.718145,61.287673 21.698571,61.286908 21.674712,61.290281 21.622979,61.299441 21.584419,61.3048 21.502648,61.321332 21.310327,61.284075 21.310841,61.28123</coordinates></LinearRing></outerBoundaryIs></Polygon>"
233,Kokemäen Sähkö Oy,"<Polygon><outerBoundaryIs><LinearRing><coordinates>22.156189,61.385032 22.237406,61.370676 22.245669,61.339952 22.236313,61.318948 22.224103,61.281474 22.217765,61.276082 22.177021,61.284975 22.152491,61.281515 22.151606,61.279945 22.152756,61.279801 22.146241,61.26406 22.164826,61.259556 22.167909,61.254021 22.278405,61.194781 22.365049,61.196308 22.414487,61.170783 22.478238,61.172196 22.479365,61.171297 22.480485,61.172455 22.555449,61.245534 22.557059,61.24556 22.58532,61.258414 22.566999,61.27418 22.583845,61.28162 22.590222,61.299915 22.580433,61.318544 22.577892,61.336547 22.596437,61.344902 22.561066,61.39198 22.572851,61.397533 22.560498,61.421245 22.508795,61.430743 22.495174,61.388088 22.444971,61.375216 22.283994,61.418821 22.262403,61.418931 22.261752,61.423216 22.25102,61.422841 22.248226,61.417575 22.235838,61.41628 22.208149,61.409275 22.163243,61.404643</coordinates></LinearRing></outerBoundaryIs></Polygon>"
244,Kuoreveden Sähkö Oy,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.989115,61.78414 24.985049,61.818485 25.008179,61.88247 24.962944,61.90503 24.930329,61.982814 24.90246,61.989274 24.914367,62.002356 24.906878,62.031487 24.825604,62.015608 24.819987,62.044631 24.819796,62.045621 24.781928,62.037277 24.783742,62.035709 24.793652,62.027143 24.765713,62.00863 24.694561,62.005739 24.681182,61.989172 24.650661,61.981773 24.622266,61.99419 24.626187,61.990817 24.627056,61.979649 24.609134,61.975038 24.673106,61.951187 24.634709,61.880856 24.672481,61.863436 24.725291,61.814429 24.735025,61.781042 24.766491,61.772956 24.856271,61.761486 24.872531,61.762599 24.951079,61.755194 24.983601,61.757396 24.986947,61.761745 24.992856,61.782475</coordinates></LinearRing></outerBoundaryIs></Polygon>"
272,Valkeakosken Energia Oy,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.235012,61.2184 24.219935,61.233886 24.261615,61.236571 24.269602,61.24114 24.269347,61.244073 24.266682,61.248427 24.228551,61.257203 24.217504,61.261384 24.163781,61.265046 24.101266,61.289437 24.094238,61.291123 24.11198,61.322357 24.059151,61.331508 24.000222,61.340138 23.96622,61.34379 23.949024,61.339732 23.919042,61.333544 23.965723,61.31733 23.944716,61.305471 23.936665,61.309698 23.931758,61.305179 23.939595,61.303151 23.811015,61.230388 23.8163,61.215817 23.880797,61.20299 23.903301,61.206446 23.925006,61.202532 23.935726,61.186244 23.956548,61.183408 24.033482,61.174463 24.068292,61.168242 24.102934,61.155397 24.23719,61.150125 24.298263,61.191394 24.2641,61.207972 24.258583,61.218879</coordinates></LinearRing></outerBoundaryIs></Polygon>"
290,Joroisten Energialaitos,"<Polygon><outerBoundaryIs><LinearRing><coordinates>27.828688,62.020464 27.850477,62.014313 27.876483,62.027907 27.869482,62.03913 27.895214,62.042405 27.895467,62.051002 27.910093,62.050046 27.924719,62.049089 27.935654,62.047296 27.941334,62.053276 27.936051,62.060191 27.936315,62.068788 27.927441,62.078306 27.936871,62.086841 27.983241,62.102856 28.009154,62.109548 28.042302,62.112742 28.058968,62.116915 28.081054,62.118464 28.031412,62.170434 28.031734,62.17989 28.001036,62.197312 28.034573,62.209103 28.051172,62.209838 28.031213,62.218587 28.040771,62.233701 28.040954,62.233991 28.013489,62.239353 28.015476,62.243638 28.011905,62.247104 27.957013,62.26039 27.918965,62.283003 27.893279,62.288329 27.887666,62.285786 27.89487,62.279721 27.883798,62.279791 27.858108,62.285111 27.837614,62.278358 27.551583,62.280648 27.512577,62.266181 27.547221,62.243694 27.532232,62.229996 27.535628,62.213647 27.522663,62.209398 27.523121,62.209034 27.544448,62.192118 27.542331,62.17665 27.563922,62.15077 27.602649,62.157485 27.626438,62.152221 27.618946,62.145376 27.615184,62.141094 27.624334,62.139333 27.631539,62.132422 27.636941,62.127239 27.625728,62.117832 27.638343,62.106597 27.62361,62.104085 27.643447,62.087657 27.617598,62.079177 27.637477,62.06533 27.618819,62.049078 27.629631,62.040431 27.636955,62.040398 27.644133,62.033486 27.703946,62.007399 27.742292,62.004619 27.754966,61.999391 27.764195,62.002779 27.79129,61.989729</coordinates></LinearRing></outerBoundaryIs></Polygon>"
307,Parikkalan Valo Oy,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>28.882718,61.557389 28.953835,61.541338 28.919324,61.449365 29.004726,61.408138 29.02555,61.383315 29.108414,61.375604 29.109279,61.361827 29.141017,61.367353 29.147596,61.384883 29.175661,61.388738 29.181093,61.376608 29.240901,61.373055 29.27261,61.37769 29.322462,61.347181 29.323925,61.347359 29.448236,61.425183 29.499473,61.459525 29.49836,61.490516 29.590574,61.495677 29.641282,61.520515 29.641865,61.527386 29.649354,61.530682 29.688991,61.551416 29.739642,61.573639 29.752736,61.599188 29.770113,61.611742 29.808521,61.636771 29.809144,61.643641 29.836545,61.666307 29.860748,61.673547 29.884035,61.690266 30.04385,61.767693 30.074111,61.816067 30.153493,61.856306 30.141896,61.856268 30.133599,61.864202 30.085296,61.854969 30.06443,61.864901 30.048922,61.873851 30.020501,61.881362 30.005442,61.876529 30.008539,61.852368 30.004619,61.830942 29.790657,61.779531 29.789878,61.770943 29.775297,61.770379 29.766541,61.773997 29.753619,61.771676 29.752313,61.757076 29.726334,61.750712 29.703534,61.759767 29.562705,61.725478 29.565158,61.733174 29.586088,61.744825 29.640023,61.760144 29.667108,61.779408 29.64923,61.803843 29.623248,61.818967 29.590559,61.819588 29.481036,61.819102 29.406876,61.750239 29.343118,61.747042 29.294913,61.733234 29.254863,61.706372 29.267638,61.682936 29.248116,61.663473 29.205687,61.652121 29.196874,61.629898 29.154199,61.640039 29.07315,61.644731 29.031033,61.664286 29.031485,61.67116 28.973242,61.694375 28.906925,61.705636 28.874548,61.709523 28.862691,61.603034 28.864392,61.60129 28.860577,61.597902 28.865628,61.591812 28.867069,61.585772 28.848883,61.583439 28.834152,61.578477 28.833899,61.57418 28.844255,61.5663 28.86758,61.564263 28.87983,61.558074 28.880206,61.556851</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>30.178357,61.86891 30.179712,61.869597 30.179564,61.869668</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>"
314,Rauman Energia Oy,"<Polygon><outerBoundaryIs><LinearRing><coordinates>21.251712,61.142514 21.327673,61.092731 21.457084,61.100324 21.467167,61.09485 21.557872,61.088976 21.573223,61.105786 21.639412,61.154794 21.639718,61.154867 21.619352,61.163973 21.597077,61.189804 21.578453,61.183886 21.552882,61.197511 21.504669,61.207627 21.495624,61.218465 21.423066,61.234456 21.40627,61.248418 21.312108,61.28415 21.310841,61.28123 21.310144,61.279625 21.250389,61.141942</coordinates></LinearRing></outerBoundaryIs></Polygon>"
317,Köyliön-Säkylän Sähkö Oy,"<Polygon><outerBoundaryIs><LinearRing><coordinates>22.143847,61.082664 22.149159,61.043544 22.14856,61.043441 22.408947,60.936729 22.535979,60.968582 22.586983,60.939012 22.587128,60.939864 22.600326,61.017395 22.446021,61.057861 22.528419,61.129744 22.507445,61.148902 22.504725,61.151071 22.479365,61.171297 22.478238,61.172196 22.414487,61.170783 22.365049,61.196308 22.278405,61.194781 22.167909,61.254021 22.165461,61.255334 22.144457,61.21339 22.124811,61.202385 22.148518,61.187055 22.178717,61.188871 22.221456,61.168323 22.229136,61.137702 22.214377,61.124676 22.134103,61.122541 22.129294,61.114276 22.146038,61.114144 22.143452,61.082656</coordinates></LinearRing></outerBoundaryIs></Polygon>"
320,Vakka-Suomen Voima Oy,"<Polygon><outerBoundaryIs><LinearRing><coordinates>20.931559,60.77459 20.973033,60.715369 21.066938,60.633211 21.184719,60.662589 21.320782,60.741504 21.378864,60.744694 21.383042,60.755175 21.349053,60.777298 21.391148,60.777597 21.442424,60.751031 21.530155,60.765686 21.543976,60.772874 21.565271,60.771533 21.557423,60.76459 21.564628,60.739861 21.549819,60.72086 21.621835,60.730399 21.698454,60.730515 21.721378,60.737308 21.798016,60.737367 21.837244,60.755074 21.863029,60.781817 21.82693,60.828253 21.950116,60.821179 22.017694,60.861227 22.042849,60.864365 22.030066,60.936722 22.066091,60.948164 22.062797,60.969376 22.113611,60.97821 22.137801,61.013301 22.104555,61.035865 22.14856,61.043441 22.149159,61.043544 22.143847,61.082664 22.143452,61.082656 22.010602,61.080006 21.988303,61.086536 22.052905,61.13968 21.89946,61.166341 21.83158,61.162288 21.724346,61.175065 21.639718,61.154867 21.639412,61.154794 21.573223,61.105786 21.557872,61.088976 21.467167,61.09485 21.457084,61.100324 21.327673,61.092731 21.251712,61.142514 21.250389,61.141942 20.935328,61.00568 20.896669,60.867697 20.926371,60.774457</coordinates></LinearRing></outerBoundaryIs></Polygon>"
330,Naantalin Energia Oy,"<Polygon><outerBoundaryIs><LinearRing><coordinates>22.084287,60.412227 22.079171,60.42912 22.082483,60.436835 22.100327,60.441606 22.106577,60.449858 22.089001,60.455107 22.07894,60.462327 22.071533,60.473125 22.068776,60.48283 22.07209,60.490545 22.080577,60.493245 22.084323,60.500229 22.093377,60.502403 22.091976,60.507413 22.086634,60.508797 22.083669,60.515647 22.021953,60.503864 22.015971,60.505222 22.016552,60.501448 22.009779,60.499612 22.011676,60.491458 22.017502,60.486931 22.000527,60.4806 21.994057,60.480989 21.984214,60.490742 21.971759,60.492487 21.958959,60.488206 21.94773,60.490311 21.935863,60.492391 21.929389,60.492778 21.917672,60.4898 21.909929,60.486024 21.915229,60.480848 21.918085,60.46672 21.928088,60.456028 21.965155,60.43181 21.976707,60.431615 22.018027,60.391727 22.08859,60.395706</coordinates></LinearRing></outerBoundaryIs></Polygon>"
374,Forssan Verkkopalvelut Oy,"<Polygon><outerBoundaryIs><LinearRing><coordinates>23.632785,60.779468 23.650467,60.78285 23.6724,60.803237 23.684401,60.803534 23.6946,60.806725 23.699101,60.806836 23.703895,60.818711 23.674998,60.821672 23.665531,60.869203 23.684065,60.893911 23.62698,60.907912 23.621621,60.912264 23.561754,60.923174 23.549473,60.911101 23.550821,60.88468 23.532228,60.875382 23.547856,60.863291 23.557462,60.844063 23.565284,60.834342 23.552324,60.828866 23.560807,60.798953 23.549006,60.789831</coordinates></LinearRing></outerBoundaryIs></Polygon>"
399,Nurmijärven Sähköverkko Oy,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.618708,60.351027 24.651091,60.351238 24.686709,60.353268 24.695928,60.355369 24.747008,60.34344 24.746985,60.34377 24.828677,60.394691 24.867165,60.400492 24.867299,60.400073 24.885374,60.412395 24.899705,60.428117 24.963573,60.429741 24.964846,60.450314 24.939064,60.463199 24.945642,60.470574 24.964536,60.496161 24.975532,60.525419 24.978373,60.525898 25.026973,60.534095 25.021877,60.548101 25.020708,60.552137 25.01153,60.555684 24.992884,60.556037 24.986481,60.566059 24.990661,60.566489 24.964436,60.570567 24.96148,60.556293 24.937801,60.554981 24.932866,60.561861 24.914522,60.557465 24.901895,60.583829 24.881326,60.583821 24.876294,60.572357 24.777505,60.579289 24.745182,60.572739 24.59521,60.558738 24.604403,60.551373 24.647727,60.516665 24.628298,60.519167 24.555166,60.510573 24.551258,60.494372 24.56008,60.470815 24.575828,60.448648 24.588579,60.406185 24.622131,60.36694 24.610094,60.356921 24.618423,60.35071</coordinates></LinearRing></outerBoundaryIs></Polygon>"
427,Mäntsälän Sähkö Oy,"<Polygon><outerBoundaryIs><LinearRing><coordinates>25.038287,60.580427 25.046203,60.577064 25.055641,60.571442 25.069523,60.563174 25.075149,60.565785 25.114177,60.546422 25.108607,60.542865 25.154501,60.514733 25.199239,60.517558 25.206383,60.504374 25.168459,60.506072 25.201611,60.504588 25.205794,60.503418 25.223819,60.502078 25.251604,60.48392 25.303306,60.491512 25.363422,60.525857 25.413033,60.5542 25.41335,60.547739 25.427913,60.565125 25.319255,60.604273 25.449545,60.676667 25.480228,60.682078 25.487395,60.694173 25.521765,60.704041 25.522707,60.711639 25.54836,60.715081 25.527669,60.772395 25.492661,60.774535 25.47505,60.791409 25.501996,60.796138 25.510815,60.829116 25.44662,60.844197 25.439683,60.853601 25.458262,60.87152 25.413941,60.876063 25.420017,60.884354 25.400345,60.888548 25.373498,60.880639 25.370293,60.892614 25.310265,60.898829 25.303936,60.920248 25.316716,60.924203 25.315468,60.931523 25.31295,60.946287 25.289304,60.975075 25.262885,60.982325 25.243864,60.973226 25.23128,60.970273 25.218179,60.967198 25.187773,60.952881 25.166022,60.924131 25.13453,60.907257 25.130043,60.89518 25.106785,60.892136 25.102996,60.89164 25.107668,60.877023 25.107775,60.876689 25.17543,60.873197 25.204689,60.860312 25.210932,60.841424 25.17216,60.839638 25.157788,60.819206 25.099565,60.818395 25.078821,60.797232 25.082154,60.763131 25.031901,60.760506 25.049572,60.746219 25.047336,60.740495 25.029616,60.734545 25.065561,60.695228 25.019649,60.623728 25.012128,60.620455 25.021167,60.619956 25.029499,60.579259</coordinates></LinearRing></outerBoundaryIs></Polygon>"
433,Keravan Energia Oy,"<Polygon><outerBoundaryIs><LinearRing><coordinates>25.075137,60.372595 25.075093,60.373334 25.079527,60.374137 25.085758,60.369789 25.085931,60.366833 25.112847,60.36627 25.114062,60.360054 25.155059,60.359914 25.155878,60.360079 25.145075,60.370667 25.150798,60.393487 25.146802,60.407644 25.153182,60.407732 25.154703,60.414701 25.161633,60.416376 25.156755,60.423573 25.153915,60.428587 25.156786,60.434312 25.152404,60.438491 25.15311,60.442788 25.14981,60.442012 25.083128,60.426324 25.081115,60.417136 25.07464,60.418621 25.075539,60.414213 25.080043,60.413646 25.081307,60.392188 25.0858,60.380882 25.080774,60.379546 25.075038,60.379464 25.073386,60.375018 25.074755,60.372568</coordinates></LinearRing></outerBoundaryIs></Polygon>"
471,Haminan Energia Oy,"<Polygon><outerBoundaryIs><LinearRing><coordinates>27.13477,60.522936 27.144763,60.462865 27.113958,60.440767 27.118946,60.405358 27.194186,60.377451 27.234862,60.377251 27.352401,60.441209 27.288655,60.466967 27.288765,60.530911 27.237576,60.548714 27.233125,60.555451 27.259562,60.557932 27.24793,60.571906 27.245755,60.587761 27.229785,60.600931 27.20328,60.606934 27.162408,60.608256 27.100352,60.59251 27.12461,60.549499 27.111746,60.541924</coordinates></LinearRing></outerBoundaryIs></Polygon>"
492,Vantaan Aviaenergia Oy,
538,Ekenäs Energi- Tammisaaren Energia,"<Polygon><outerBoundaryIs><LinearRing><coordinates>23.544952,59.985376 23.543965,59.994832 23.573515,60.011822 23.5512,60.011169 23.588618,60.043819 23.577707,60.058618 23.559343,60.065396 23.511487,60.063509 23.471933,60.019474 23.433852,60.03299 23.378357,60.032111 23.339011,59.96528 23.347998,59.929495</coordinates></LinearRing></outerBoundaryIs></Polygon>"
